;text
1826;Mijn man gedraagt zich vreemd. Ik denk dat zijn suiker niet goed is, maar weet het niet zeker.
1827;Mijn man heeft diabetes type 1 en is nu hevig aan het zweten, trillen en suffer dan anders. Ik vind dat hij ook wat warrig overkomt. Hij voelde zich al een paar dagen niet zo lekker. Was ook veel aan het hoesten.
1828;Mijn moeder heeft suikerziekte, is de laatste dagen niet lekker geweest. Minder gegeten denk ik. Nu is ze heel slaperig en kan ik haar niet goed wekken.
1829;Op de bedrijfsborrel was het erg gezellig, misschien net wat te veel gedronken. Vanmorgen mn normale hoeveelheid insuline gebruikt. Heb nu last van hartkloppingen en hoofdpijn. Zal het de kater zijn of te maken hebben met mijn suikerziekte.
1830;Sinds enkele maanden toenemend moe en slaperig. Mn conditie is de laatste tijd achteruitgegaan. Sinds 1 - 1,5 week veel drinken, droge mond, veel plassen. Ook in de nacht. Ik voel me niet mezelf. Ben vergeetachtig.
1831;Vorige week een te hoge bloedsuiker gemeten. Gestart met metformine. Kan nu niet stoppen met braken. Voel me slap.
1832;Vroeger had ik heel soms weleens een blaasontsteking, maar nu heb ik het aan de lopende band. Snap er niks van.
1833;diabetes
1834;diabetes ontregeld
1835;suikerziekte
1836;Ben tegen een omheining aan gereden en heb nu een flinke wond in mijn dijbeen.
1837;Er is een glasscherf in mijn oog.
1838;Er is een stuk metaal in mijn buik. Het bloed heel erg veel.
1839;Er is iets in mijn oog wat it er niet uit krijg.
1840;Gisteren met tennis een bal tegen mijn oog gekregen. Nu heb ik veel last van mijn linker oog en zie ik minder goed.
1841;Grote snee in mijn vinger, daarboven is ales helemaal wit en voel ik niks meer.
1842;Ik ben met mijn hoofd op een mes gevallen. Er komt veel bloed uit, en denk dat het ook door de schedel is gekomen
1843;Ik denk dat mijn kind een batterij heeft ingeslikt. Hij zit niet meer in de afstandsbediening. Wat nu?
1844;Ik heb al een aantal dagen last van iets dat in mijn oog zit
1845;Ik heb een splinter in mijn hand zitten die ik er niet meer uit krijg.
1846;Ik heb een stuk metaal in mijn been, maar mijn been is nu helemaal wit en koud.
1847;Ik heb het het dopje van mijn balpen door geslikt.
1848;Ik heb per ongeluk een batterij ingeslikt
1849;Ik heb per ongeluk een sleutel ingeslikt.
1850;Ik heb sinds vandaag last van mijn oog. Ik heb er goed in gekeken en zie niks. Ik werk in de bouw met metaal constructies.
1851;Ik heb vuurwerk in mijn oog
1852;Ik heb zo een kleine batterij ingeslikt, voor je gehoorapperaat. Moet ik hier iets mee, of komt die er vanzelf weer uit.
1853;Ik was aan het koken en toen viel er een mes op mijn kuit. Het bloed erg veel
1854;Mijn kind had een magneetje op mijn bord gelegd en nu heb ik die ingeslikt. Is dit ernstig.
1855;corpus alienum
1856;er is iets in mijn oog
1857;er zit iets in mijn oor
1858;Als ik achterin de auto zit en niet naar buiten kijken wordt ik erg misselijk. Dan moet ik daarbij ook vaak overgeven. Dan wordt ik vaak ook erg zweterig. Eenmaal op de bestemming voel ik me weer beter.
1859;Als ik in een auto zit en niet naar buiten kan kijken word ik altijd zo misselijk. Soms zo erg dat ik moet overgeven.
1860;Elke keer als ik overgeef, dan zit er heel veel bloed bij
1861;Elke keer als ik water drink, dan kots ik het meteen uit
1862;Gevoeligheid voor licht, hoofdpijn, en misselijk met braken. Is dit een migrene
1863;Gisteren barbeque gehad en vannacht ineens moeten overgeven. Denk dat ik iets verkeerds heb gegeten.
1864;Hoe kan je zien of je bloed overgeeft
1865;Ik ben coassistent en zit nu bij de kindergeneeskunde. Sinds gisteravond heb ik last van diarree en misselijkheid braken. Het braaksel ziet er wat gallig uit.
1866;Ik ben de afgelopen periode flink afgevallen. Nu heb ik aanvalsgewijze hevige pijn in mijn rechter bovenbuik. Hierbij heb ik ook een aantal keer moeten overgeven.
1867;Ik ben erg verstopt, zo erg dat ik nu ook misselijk ben door de pijn en meot overgeven
1868;Ik ben hoogzwanger en ben al bijna een week ziek en ben constant aan het overgeven
1869;Ik ben sinds kort erg vaak misselijk en heb ook al meerdere keren overgegeven
1870;Ik ben twee maanden zwanger en erg misselijk. Vooral in de ochtenden voel ik me zo misselijk en moet ik geregeld overgeven.
1871;Ik ben twee weken geleden op mijn hoofd gevallen en ben sinds dien erg misselijk en moet steeds braken
1872;Ik ben verstopt en moet overgeven is er een verband tussen
1873;Ik geef al twee weken dagelijks over
1874;Ik geef elk uur over. Hoe kan ik het beste vocht binnenhouden
1875;Ik heb al een paar uur een stekende pijn in mijn linkerzij en ben constant aan het overgeven
1876;Ik heb anderhalve maand mijn laatste chemotherapie gehad vanwege uitgezaaide borstkanker. Ik voel me de laatste weken erg moe en ga dan ook geregeld even op de bank liggen. Al enkele dagen ben ik in toenemende mate misselijk. Gisteravond heb ik driemaal gebraakt. Het braaksel bevat geen voedselresten en is zurig, aan het eind komt er wat gal, er zit geen bloed bij. Vanmorgen heb ik een half beschuitje kunnen eten. De hele ochtend heb ik geprobeerd wat water te drinken. Plassen gaat goed. De ontlasting gaat redelijk. Ik heb geen buikpijn.
1877;Ik heb de laatste keren meerdere keren overgegeven
1878;Ik heb diabetes, en heb vandaag al meerder keeren overgegeven. Moet ik mij zorgen maken
1879;Ik heb een bloedende wond aan mijn hoofd, en ben ook erg misselijk, waardoor ik soms overgeef
1880;Ik heb een bozende pijn in mijn hooft en ben misselijk/moet kotsen
1881;Ik heb gisteren alcohol gedronken, en geef nu al meer dan 24 uur over is dit normaal
1882;Ik heb griep en kan niks binnen houden. Zelfs geen water. Hoe kan ik zorgen dat ik niet dehydreer
1883;Ik heb hele heftige buik krampen en geef al een paar uur over
1884;Ik heb kanker, en heb opeens koorts en moet door de misselijkheid steeds kotsen
1885;Ik heb mijn baby laten vallen, en nu geeft ze over
1886;Ik heb net gebraakt en er zat bloed bij
1887;Ik heb opeens heel erg veel hoofdpijn en ben misselijk. Ook heb ik een aantal keren gebraakt.
1888;Ik heb straks een belangrijk tentamen. Ik heb zo hard geleerd en nu voel ik me misselijk. Ik denk dat ik moet spugen.
1889;Ik houd niks meer binnen, zelfs bij het drinken van water
1890;Ik kan bijna niks meer doen door de hoofdpijn die ik heb en moet door de misselijkheid steeds overgeven.
1891;Ik kan maar moeilijk licht verdragen en ben gevoelig voor geluid. Ook moet ik telkens braken
1892;Ik kan niks binnen houden. Het duurt al drie dagen. Wanneer moet ik naar het ziekenhuis
1893;Ik kots bloed
1894;Ik moet gewoon overgeven van de zenuwen.
1895;Ik voel me 's ochtends echt een vaatdoek. Ben zo misselijk, veel overgeven. Houd niks binnen.
1896;Ik voel me niet lekker en heb braakneigingen
1897;Ik werk op een kinderdagverblijf en veel van de kinderen zijn ziek. Nu heb ik last van diarree en moet ik overgeven. Houd bijna niks binnen. Voel me heel slap.
1898;Ik wil graag afvallen, maar heb vaak aanvallen waarbij in enorme trek heb. Ik eet dan alles wat ik kan vinden en voel me daarna schuldig. Dan steek ik een vinger in mijn keel om alles er weer uit te krijgen.
1899;Is was duizelig en misselijk, moest ook een keer kotsen.
1900;Mijn 4 jarig dochtertje heeft sinds drie dagen diarree. Zij heeft â€“ evenals de rest van de familie â€“ 3 dagen geleden diarree gekregen. Bij haar ging dit niet over. Hoewel zij erg dorstig was en graag dronk, braakt ze steeds alles weer uit. In de loop van de dag is ze steeds suffer geworden en heb ik het gevoel dat niets in haar omgeving haar interesseert op dit moment.
1901;Mijn kind is van de glijbaan afgevallen en is nu erg misselijk en heeft gebraakt
1902;Mijn zoon is op zijn hoofd gevallen en heet meerdere keren overgegeven
1903;Overgeven, diabetes, kortademig
1904;Sinds vanmorgen heb ik veel moeten overgeven. Het braaksel ziet er roodgekleurd uit. Af en toe voel ik me heel moe en suf. Ik drink al jaren graag sinds de middag een aantal pilsjes.
1905;Werd kotsmisselijk in de achtbaan. Heb direct daarna moeten spugen.
1906;Achteruitgang van mijn spraakvermogen bemerkt
1907;Al meer dan 6 uur lang kan ik mijn arm niet meer bewegen
1908;Doof gevoel aan een kant van het lichaam
1909;Een verwarde indruk
1910;Heb sinds gisteren ineens veel moeite met het onthouden van dingen
1911;Het is mij gisteren opgevallen dat ik mijn ene oog niet goed meer kan sluiten
1912;Het lijkt wel alsog ik dronken ben, ik zwalk
1913;Het lukt me niet om normaal te kunnen lopen
1914;Hij heeft een scheve mond
1915;Hij loopt alsof hij dronken is
1916;IK denk dat ik een neurologische aanval heb door mijn hernia
1917;IK heb nu al 6 uur last van een coÃ¶rdinatie stoornis, van te voren had ik een neurlogishce uitval
1918;IK heb sinds zonet geen last meer van mijn neurologische uitval
1919;Ik ben door mijn rug gegaan en heb tintelingen in mijn linker voet
1920;Ik ben misselijk en kan niet meer recht voor me uitlopen
1921;Ik had van het een op het andere moment barstende hoofdpijn.
1922;Ik heb al een paar uur lang last van motorische onhandigheid
1923;Ik heb al een paar uur lang van een coÃ¶rdinatiestoornis
1924;Ik heb echt de ergste hoofdpijn van mijn leven, wat is er aan de hand!?
1925;Ik heb een dronkemansloop
1926;Ik heb een hernia, ik kan mijn armen niet meer goed bewegen
1927;Ik heb een klapvoet
1928;Ik heb het vermoeden dat ik een neurlogische uitval heb door mijn hernia
1929;Ik heb minder gevoel
1930;Ik heb minder kracht
1931;Ik heb moeite om mijn rechter arm te gebruiken
1932;Ik heb sinds vanmorgen veel moeite om recht te blijven zitten
1933;Ik heb tintelingen aan de rechter kant van mijn lichaam
1934;Ik heb verlammingsverschijnselen aan de hele rechterzijde
1935;Ik kan al 2 uur mijn been niet meer bewegen
1936;Ik kan al een paar uur mijn arm niet meer bewegen
1937;Ik kan al enige tijd mijn armen niet meer bewegen
1938;Ik kan al meer dan 6 uur lang mijn been niet meer bewegen
1939;Ik kan mijn arm niet meer weer bewegen. Ik denk dat dit door mijn hernia komt
1940;Ik kan mijn armen niet goed boven mijn hoofd houden
1941;Ik kan mijn hand niet meer goed optillen
1942;Ik kan nu wel weer mijn arm bewegen
1943;Ik kan opeens mn armen en benen niet meer bewegen, heb een hele stressvolle tijd achter de rug
1944;Ik kan sinds zojuist mijn been weer bewegen
1945;Ik kon me een hele tijd niet bewegen maar het lijkt nu over te zijn
1946;Ik kon tijdelijk mijn armen niet meer bewegen, inmiddels kan ik er weer alles mee. De dokter vermoedt dat dit door een conversiestoonis komt. Ik had toendertijd heel veel last van stress.
1947;Ik loop alsof ik gedronken heb
1948;Ik loop de hele ochtend al tegen alles op
1949;Ik merk dat ik minder kracht heb in mijn rechterkuit
1950;Ik merk dat ik niet op de juiste woorden kom
1951;Ik merk dat mn ene been een beetje sleept
1952;Ik struikel meer dan anders
1953;Ik voel tintelingen door mn hele lichaam.
1954;Ik werd wakker met een scheve mond
1955;Ik zie met een oog minder goed.
1956;Ik zie plotseling wazig aan een oog
1957;Ik zie sinds ik opgestaan ben ineens een stuk minder scherp.
1958;Lamme arm
1959;Mijn man sprak vanmiddag een korte periode totale wartaal, daarna was het weer normaal
1960;Mijn neurologische uitval is zojuist voorbij gegaan
1961;Mijn vader kan opeens niet meer rechtop in de stoel zitten, hij hangt helemaal naar links
1962;Moeite met het houden van mijn evenwicht
1963;Na mijn neurologische uitval heb ik al meer dan 6n uur last van een coÃ¶rdinatiestoornis
1964;Plotseling gevoelsverlies aan een zijde van mn lichaam
1965;Plotseling wazig zien aan beide ogen.
1966;Plotselinge achteruitgang van zijn taalvaardigheid
1967;Problemen met geheugen
1968;Problemen met het maken van bewegingen
1969;Tintelingen in een zijde van mijn lichaam
1970;Toen mijn partner is overleden kreeg ik problemen met praten
1971;Vandaag was er een moment dat ik even niks zag aan een kant
1972;Verlamd been
1973;Verlamming aan de linkerkant
1974;Verwarde spraak
1975;neurologische uitval
1976;Als ik druk ben heb ik altijd meer last van mijn rug.
1977;Ben buschauffeur en kan de laatste tijd geen houding meer vinden waarin ik geen last heb van mijn rug.
1978;Ben door mijn rug gegaan, heb zwaar werk, veel bukken en draaien en tillen. wat moet ik doen?
1979;Ik ben bouwvakker en moet veel tillen. Het is in mijn rug geschoten, kan ik nog wel werken.
1980;Ik ben de hele dag maar druk, heb een drukke baan, waar ik veel moet zitten en aan het einde van de dag heb ik dan geen puf meer om te sporten. Steeds een irritant gevoel in mijn bil en onderrug.
1981;Ik ben wat te dik en heb last van mijn rug
1982;Ik heb al zeer erge rug pijn, en heb wel eens eerder een aneurisme gehad
1983;Ik heb altijd al een slechte rug gehad, zeker nu in deze stress tijd
1984;Ik heb de hele dag zo'n zeurend gevoel in mijn rug, heel irritant. Laatste tijd ook wel wat druk op mijn werk.
1985;Ik heb een kantoor baan en moet de hele dag zitten. Heb weinig pauze, zal mijn rugpijn daar vandaan komen?
1986;Ik heb een rugpijn. Het vooral pijnlijk in de boven rug.
1987;Ik heb erg veel last van mijn rug en nu ook van mijn darmen
1988;Ik heb erge last van mijn rug en problemen bij het plassen
1989;Ik heb last van iets onder in mijn buik en oook van mijn rug
1990;Ik heb last van mijn rug, het doet daarnaast ook veel pijn wanneer ik moet plassen
1991;Ik heb opeens erg veel rug pijn, ben misselijk en duizelig. Ik ben 50 jaar oud
1992;Last van mijn rug
1993;Ik heb overgewicht, houd niet van sporten en heb last van mijn rug.
1994;Ik heb uitstralende pijn in mijn benen als ik de hele dag in de cabine zit.
1995;Ik heb veel last van mijn rug, ik ben misschien een paar kilo te zwaar
1996;Ik moet constant naar de wc en heb heel erg last van mn rug
1997;Ik rijd in de vrachtwagen en als ik thuis ben ben ik doodop. Echt geen tijd om nog te gaan sporten. Nu heb ik een versleten rug en steeds meer pijn. Kan de lange dagen niet goed meer aan. Misschien moet ik op zoek naar een andere baan.
1998;Ik werk in een fabriek en moet veel dezelfde bewegingen maken. heb last van mijn rug
1999;Pijn in de onder rug
2000;Rugpijn
2001;Werk in de bouw, maar mn rug zit in de weg. kan niet zoveel meer tillen als voorheen.
2002;Werk op schiphol en til alle bagage. Ging altijd prima, maar de laatste tijd echt super veel last van mijn rug.
2003;Ben aan de dunne, en ook aan het kotsen. Afwisselend op en voor de wc. Man man man.
2004;Ben aan de schijterij, houd niks binnen. Voel me hondsberoerd.
2005;Ben aan de schijterij, veel bloed.
2006;Bijna alles wat ik inneem kots ik uit, en verder heb ik ook nog diaree. Ik voel me erg ziek.
2007;De afgelopen 5 dagen heb ik erg dunne ontlasting/diarree
2008;Dunne ontlasting
2009;Er zit bloed en slijm bij mn ontlasting.
2010;Het komt er aan alle kanten uit. Ik moet continu overgeven en heb ook diarree.
2011;IK heb nu al een week diarree en het wordt niet minder.
2012;Ik ben 75 jaar, heb koorts en last van waterdunne diarree.
2013;Ik ben aan de dunne
2014;Ik ben aan de schijterij sinds ik antibiotica gebruik.
2015;Ik ben gek op zoete dingen. Ben veel aan de dunne.
2016;Ik ben hiv positief en heb nu al een paar dagen diarree plus koorts
2017;Ik ben zwanger en heb koorts en diaree
2018;Ik heb al langer dan 8 uur niet geplast.
2019;Ik heb al meer dan drie dagen last van waterdunne diarree. Ik ga minstens 8 keer per dag naar de wc.
2020;Ik heb al meer dan een week diarree
2021;Ik heb bloed bij mijn ontlasting, het lijkt heel veel. Zit door mn ontlasting heen, met stolsels lijkt wel. Donkerrood.
2022;Ik heb bloederige diarree.
2023;Ik heb diaree
2024;Ik heb diarree met redelijk veel helder rood bloed.
2025;Ik heb diarree, ben erg suf en heb al een dag niet geplast. Ik heb erg veel dorst, maar het komt er allemaal weer uit
2026;Last van buikloop
2027;Ik heb diarree, en moet veel overgeven. Ik ben bang dat ik niet genoeg voedingstoffen binnen krijg.
2028;Ik heb diarree, heb koorts, ben misselijk en heb erg weinig eetlust
2029;Ik heb een heel wisselend ontlastingspatroon, de ene dag obstipatie, de andere dag diarree.
2030;Ik heb een oorontsteking en gebruik daarvoor antibiotica. Het nadeel is daarvan dat ik altijd last van mijn darmen krijg. Ik heb hele dunne ontlasting.
2031;Ik heb gisteren de hele dag niet geplast en ik heb nog steeds last van diarree.
2032;Ik heb heel erge dorst.
2033;Ik heb krampen in mijn buik en moest steeds rennen voor de wc. Dan heb ik groenige waterige ontlasting. Kan niet normaal op pad, want moet een wc in de buurt hebben.
2034;Ik heb last van diarree en gebruik normaal plastabletten, moet ik die nu wel nemen?
2035;Ik heb soms periodes dat ik veel last heb van mijn darmen en daarna kan het best ook wel weer iets beter gaan. Ik ben er nog niet achter wat dit nu veroorzaakt.
2036;Ik heb vaak een opgeblazen gevoel. Mijn ontlasting is ook altijd van de rel. Soms kan ik een paar dagen niet en nu heb ik weer hele dunne ontlasting.
2037;Ik heb veel zwarte dunne ontlasting en het stinkt heel erg.
2038;Ik houd heel erg van energie drankjes. Mijn huisarts zegt dat dat de reden kan zijn voor mijn diarree. Daar heb ik nu al zo lang last van.
2039;Mijn buurvrouw heeft koorts en diarree, maar nu vind ik dat ze zo traag reageert. Ze is suf en in de war.
2040;Mijn kind heeft hele dunne poep, drinkt slecht en wil ook niet goed eten. Moet ik me zorgen maken.
2041;Mijn vader heeft last van diarree en koorts en voelt zich heel licht in het hoofd. Ik ben bang dat hij zo flauw gaat vallen.
2042;Niks blijft binnen, alles wat ik drink komt er aan een van de kanten direct weer uit.
2043;Sinds ik een sapkuur doe ben ik aan de diarree. Val ik dan extra snel af?
2044;Spetterpoep
2045;Spuitpoep
2046;Wat te doen bij diarree
2047;buikloop
2048;diarree
2049;dunne
2050;kakken
2051;poepen
2052;schijterij
2053;Geen ontlasting gehad
2054;Harde ontlasting
2055;IK heb last van mijn buik
2056;Ik heb buikpijn
2057;Ik heb buikpijn en moet telkens alles overgeven
2058;Ik heb erg veel pijn in mijn onderbuik
2059;Ik heb hevige buikpijn
2060;Ik heb last van een opstopping en ik moet ook overgeven
2061;Ik heb last van opstopping met erge buikpijn
2062;Ik hoef al een aantal dagen bijna niet naar het toilet om te poepen, maar nu heb ik ook hele erge buikpijn
2063;Ik kan niet poepen
2064;Ik voel erg veel druk op mijn buikpijn
2065;Last van verstopping
2066;Mijn baby heeft nog niet hoeven poepen
2067;Mijn buik doet pijn en ik houd niks binnen
2068;Mijn pasgeboren baby heeft nog geen grote boodschap gedaan
2069;Mijn stoelgang is erg traag geworden de afgelopen dagen en nu heb ik ook een hele erge buikpijn.
2070;Moeite om naar de wc te gaan
2071;obstipatie
2072;Ik heb vaginaal bloedverlies
2073;36 weken zwanger en vanmorgen vrij veel bloed verloren, weet niet precies hoeveel. Maar het leek veel. Heb over de dag vier keer mijn maandverband moeten wisselen, omdat het verzadigd was.
2074;Af en aan last van krampende pijn in mijn buik, ben in verwachting
2075;Al mijn vriendinnen zijn al ongesteld, maar ik nog niet
2076;Buikpijn en 8 weken zwanger
2077;Heb net een zwangerschapstest gedaan, deze was positief. Nu hevige buikppijn.
2078;Hele heftige pijn in mijn onderbuik, wil het liefst in een foetus houding liggen. Bloed verloren uit mn vagina.
2079;Het lijkt alsof ik heel erg ongesteld ben. Ben aan het zweten, buikpijn, voel me niet goed.
2080;Ik ben 16 jaar en ben nog nooit ongesteld geweest, is dit normaal?
2081;Ik ben al veertien maanden niet ongesteld geweest en dacht dat ik in de menopauze zit, nu opeens licht bloedverlies. Ongeveer een tampon per dag nodig.
2082;Ik ben heel erg ongesteld
2083;Ik ben heel erg ongesteld. Ik moet om het uur mijn maandverband verwisselen omdat het verzadigd is.
2084;Ik ben heel erg onregelmatige met mijn menstruatie
2085;Ik ben heel veel afgevallen en nu ben ik al een aantal maanden niet meer ongesteld geweest
2086;Ik ben heel wisselend ongesteld, dan om de drie weken en dan zit er ineens 5 weken tussen
2087;Ik ben niet ongesteld maar verlies wel bloed.
2088;Ik ben nu al een aantal maanden niet ongesteld geweest. Vind het wel chill, maar dit hoort toch niet?
2089;Ik ben van de trap gevallen op mijn buik en ben zwanger. Zit nu in mijn 19e week.
2090;Ik ben van mijn fiets gevallen en ben zwanger
2091;Ik ben vijf maanden zwanger en heb vanmorgen redelijk wat bloed verloren.
2092;Ik ben zwanger en heb nu veel vaginaal bloedverlies
2093;Ik ben zwanger en heb wat bloed verloren. Moet ik me zorgen maken?
2094;Ik bloed
2095;Ik bloed en heb intense krampen in mijn onderbuik. Zo veel pijn.
2096;Ik denk dat ik een miskraam heb gehad. Buikpijn, net in verwachting. Wat moet ik doen?
2097;Ik heb 38 graden gemeten, ben in verwachting en heb vaginaal bloedverlies.
2098;Ik heb bloedverlies
2099;Ik heb buikpijn en maak me heel veel zorgen
2100;Ik heb donkere afscheiding na de seks
2101;Ik heb een koperspiraaltje en heb sindsdien heel hevig bloedverlies als ik ongesteld ben, is dat normaal?
2102;Ik heb een mirena en veel last van Spotting
2103;Ik heb een mirena en vriendinnen vertelden mij dat je dan nooit meer ongesteld wordt. Ik ben nog steeds wel ongesteld, hoe kan dit?
2104;Ik heb een ongeluk gehad en ben 20 weken zwanger. Het voelt niet goed in mijn buik.
2105;Ik heb enorme buikpijn, nog een prille zwangerschap, nog geen echo gemaakt
2106;Ik heb geen regelmatige menstruatie
2107;Ik heb heel veel last van mijn buik
2108;Ik heb intense buikpijn
2109;Ik heb koorts, ben zwanger en heb bloed verloren.
2110;Ik heb krampende pijn in mijn buik
2111;Ik heb meerdere inlegkruisjes vol met bloed. Ik kan niet ongesteld zijn, want ik ben zwanger.
2112;Ik heb mn spiraaltje laten verwijderen, nu heb ik geen menstruaties meer. Hoe kan dit?
2113;Ik heb opeens veel bloed verloren. Ik ben zwanger. Ben bang voor een miskraam. Ook krampende pijn.
2114;Ik heb stekende pijn in mijn buik
2115;Ik heb zo'n buikpijn en ben zwanger
2116;Ik menstrueer
2117;Ik menstrueer al een aantal jaar niet meer. Nu heb ik opeens regelmatig weer wat bloedverlies.
2118;Ik slik de pil door en na een aantal maanden word ik dan toch wel een beetje ongesteld
2119;Ik verlies bloed uit mijn vagina
2120;Ik verlies tijdens mijn ongesteldheid heel veel bloed. Voel me licht in mijn hoofd.
2121;Ik verlies tussen mijn menstruatie in bloed.
2122;Ik zou niet ongesteld moeten zijn maar toch ben ik ongesteld
2123;Mijn vriendin heeft heel erg last van haar buik, we zijn gisteren naar de verloskundige geweest, nu opeens veel bloed verloren.
2124;Mn afscheiding is donkerbruin, maar ik ben zwanger. Kan dit kwaad?
2125;Na de seks bloed ik steeds een beetje
2126;Spotting
2127;Tussentijds vaginaal bloedverlies
2128;Van mn fiets gevallen en ben zwanger, gelijk daarna bloed verloren.
2129;Voel me klam, zweterig, koud en warm tegelijk.
2130;Voel me niet goed, heb rillingen, ben in verwachting van ons eerste kindje.
2131;vaginaal bloedverlies
2132;Er zat iets in mijn schoen waardoor ik nu een grote blaar heb.
2133;Ik heb een hallus valgus en altijd last van blaren.
2134;Hele avond wezen dansen op mijn nieuwe hakken. Kan nu geen stap meer verzetten, blaren achterop mijn voet en bij mn kleine teen.
2135;Ik denk dat ik een ontstoken blaar heb. Het is pijnlijk en ziet er niet goed uit.
2136;Ik had gisteren een feestje en mijn nieuwe hakken aan. Nu kan ik niet meer lopen door alle blaren.
2137;Ik had mijn inlegzolen niet in en daardoor heb ik nu een grote blaar.
2138;Ik heb blaren onder mijn voet
2139;Ik heb een blaar
2140;Ik heb een blaar op mijn voet. Nu ziet het er rood en pussig uit.
2141;Ik heb een hoge wreef, daarom is het voor mij moeilijk om schoenen te vinden die passen. heel vaak last van blaren.
2142;Ik heb lang in de regen gelopen, waardoor mijn schoenen gingen schuren. Ik denk dat ik daarom nu blaren heb onder mijn voeten.
2143;Ik heb last van hamertenen aan mijn linkervoet. Hier heb ik altijd blaren. Zeker als ik nieuwe schoenen heb.
2144;Ik heb mijn schoenen te klein gekocht en daardoor heb ik nu blaren op mijn voet.
2145;Ik heb nieuwe schoenen en ze zijn duidelijk nog niet ingelopen. Dikke blaar achter op mijn hiel.
2146;Ik heb platvoeten en veel last van eelt en soms blaren.
2147;Ik heb vanaf mijn blaar een rode streep op mijn been richting mijn lies.
2148;Ik loop de vierdaagse en heb nu een hele groot blaar tussen mijn tenen.
2149;Ik loop veel hard maar als ik de verkeerde sokken aan heb krijg ik altijd blaren.
2150;Ik voelde niet dat ik een blaar had en ben er te lang mee doorgelopen. Nu ziet het er slecht uit. Helemaal ontstoken.
2151;Kan niet normaal lopen zonder mijn zooltjes, vanwege mijn doorgezakte voeten. Nu aan de binnenzijde van mn linker voet een grote blaar.
2152;Mijn blaar is gaan ontsteken, nu lijkt de rest van mijn been ook een beetje rood te worden.
2153;Mijn schoenen zijn net te groot en ik glij in mijn schoen. Nu heb ik meerdere pijnlijke blaren.
2154;blaren
2155;voetblaren
2156;Een deel van mijn ouderdomswrat is er vanmorgen met afdrogen afgebrokkeld. Kan dit kwaad?
2157;Er zitten scheurtjes en kloofjes in mijn ouderdomswrat.
2158;Hoe ouder ik word hoe meer ouderdomswratten ik krijgen
2159;Ik heb allemaal ruwe haast zwarte wratten op mijn lichaam.
2160;Ik heb een onregelmatige, bruin/gelige plek op mijn huid. Voelt wat vettig aan en ligt echt op mijn huid.
2161;Ik heb een ouderdomswrat van ongeveer 3 cm groot in mijn nek.
2162;Ik heb een ruwe bruine plek op mijn huid
2163;Ik heb een ruwe, bruinige plek op mijn borst. Ik vind dit lelijk, hoe krijg ik dit er weer af?
2164;Ik heb een ruwe, onregelmatige, bruine plek op mijn gezicht. Wat is het en hoe kom ik er vanaf?
2165;Ik heb een verheven huidkleurige ruwe plek op mijn borst.
2166;Ik heb iets wat een beetje lijkt op een moedervlek, alleen dan ruwer. Zit om mijn gezicht en wordt steeds een beetje groter.
2167;Ik heb meerdere donkere wratten en die jeuken soms enorm.
2168;Ik heb meerdere ouderdomswratten op mijn lichaam. Het worden er steeds meer.
2169;Ik heb ruwe donkere plekken op mijn rug. Het lijkt een beetje een moedervlek, alleen dan ruwer.
2170;Kunnen ouderdomswratten kwaad?
2171;ik heb steeds meer last van wratten
2172;ouderdomswratten
2173;wratten
2174;Ik draag een kunstgebit. Zou dat de oorzaak zijn van de korsten in mijn mondhoeken.
2175;Ik heb al langere tijd gebarsten mondhoeken
2176;Ik heb best dikke korsten aan mn beide mondhoeken. Het ziet er super lelijk uit, wat kan ik eraan doen.
2177;Ik heb een kunstgebit en sindsdien super veel last van gebarsten mondhoeken
2178;Ik heb een nieuwe beugel en ik blijf maar korstjes in mijn mondhoeken hebben.
2179;Ik heb gebarsten mondhoeken
2180;Ik heb kapotte mondhoeken
2181;Ik heb korsten in mijn mondhoeken
2182;Ik heb korsten in mijn mondhoeken, heb al alles geprobeerd maar gaat niet weg
2183;Ik heb last van ragaden
2184;Ik heb pijnlijke scheurtjes in mijn mondhoeken. Ik probeer niet aan mn lippen te likken.
2185;Ik heb tot bloedens toe last van mijn mondhoeken
2186;Ik heb zulke droge lippen en korsten op mijn lippen. In de hoeken bloeden ze ook wel eens, als ik mijn mond wijd open doe
2187;Ik kan mijn mond niet normaal openen vanwege de pijn in mijn mondhoeken, ze barsten steeds weer open.
2188;Kan ik eczeem op mijn mond hebben. Ik heb gebarsten mondhoeken.
2189;Mijn mondhoeken doen pijn.
2190;Mijn mondhoeken zijn super pijnlijk. Als ik lach barsten ze steeds weer open.
2191;Sinds ik een beugel draag heb ik vaak last van gebarsten mondhoeken.
2192;pijnlijke mondhoeken
2193;ragaden
2194;Aangereden in de auto. Ging redelijk langzaam, maar sindsdien echt last van mijn rug.
2195;Auto ongeluk gehad, rugpijn en nu bloed bij de urine.
2196;Botsing met scooter en nu ligt hij stil en kan hij zijn benen niet meer bewegen.
2197;Door mijn rug gegaan en kan nu wel huilen van de pijn.
2198;Enorme spierspanning in mijn rug na val. Kan mn rug nog amper bewegen
2199;Heb niet normaal veel pijn in mijn rug. Kan geen kant op.
2200;Ik ben aangereden met de fiets
2201;Ik ben op mijn rug gevallen
2202;schimmel
2203;Ik ben van een muurtje afgesprongen en daarna had ik acuut veel last van mijn rug.
2204;Ik ben van mijn fiets gevallen en heb mijn rug bezeerd
